country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",2025-11-18 17:00:00,28.4227,77.0667,5,97.0,500.0,340.0
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",2025-11-18 17:00:00,28.4227,77.0667,6,8.0,42.0,22.0
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",2025-11-18 17:00:00,28.4227,77.0667,3,10.0,310.0,40.0
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",2025-11-18 17:00:00,28.4275,77.1465,4,100.0,253.0,142.0
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",2025-11-18 17:00:00,28.6701,76.9254,2,12.0,14.0,13.0
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",2025-11-18 17:00:00,28.6701,76.9254,3,14.0,19.0,17.0
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",2025-11-18 17:00:00,28.3419248,77.319699,5,75.0,145.0,94.0
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",2025-11-18 17:00:00,28.806223,76.141105,3,6.0,17.0,12.0
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2025-11-18 17:00:00,28.593883,76.270653,1,5.0,8.0,6.0
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",2025-11-18 17:00:00,28.593883,76.270653,3,14.0,18.0,15.0
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",2025-11-18 17:00:00,28.376058,77.315741,5,159.0,279.0,214.0
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",2025-11-18 17:00:00,28.376058,77.315741,0,17.0,126.0,34.0
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2025-11-18 17:00:00,28.4417,77.3217,4,162.0,172.0,166.0
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2025-11-18 17:00:00,28.4417,77.3217,2,37.0,39.0,38.0
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",2025-11-18 17:00:00,28.4417,77.3217,1,11.0,12.0,11.0
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",2025-11-18 17:00:00,29.8006,76.4155,2,29.0,33.0,31.0
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",2025-11-18 17:00:00,29.8006,76.4155,6,29.0,34.0,31.0
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",2025-11-18 17:00:00,29.6953,77.0027,0,36.0,57.0,49.0
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",2025-11-18 17:00:00,27.9002,76.9938,4,72.0,459.0,194.0
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",2025-11-18 17:00:00,27.9002,76.9938,1,13.0,15.0,14.0
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",2025-11-18 17:00:00,28.4501238,77.0263051,4,85.0,208.0,133.0
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",2025-11-18 17:00:00,28.4501238,77.0263051,0,95.0,133.0,111.0
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",2025-11-18 17:00:00,29.14056,75.744941,4,108.0,287.0,178.0
India,Haryana,Jind,"Police Lines, Jind - HSPCB",2025-11-18 17:00:00,29.307814,76.337619,4,108.0,287.0,178.0
India,Haryana,Jind,"Police Lines, Jind - HSPCB",2025-11-18 17:00:00,29.307814,76.337619,6,108.0,287.0,178.0
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",2025-11-18 17:00:00,23.163798,72.677768,3,108.0,287.0,178.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2025-11-18 17:00:00,23.243639,72.68994,6,3.0,9.0,5.0
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",2025-11-18 17:00:00,23.243639,72.68994,3,5.0,54.0,41.0
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",2025-11-18 17:00:00,23.221714,72.654328,5,50.0,140.0,87.0
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",2025-11-18 17:00:00,23.221714,72.654328,1,2.0,3.0,2.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2025-11-18 17:00:00,23.076793,72.627874,2,29.0,70.0,48.0
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",2025-11-18 17:00:00,23.076793,72.627874,1,3.0,7.0,5.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2025-11-18 17:00:00,21.613267,73.010555,4,3.0,7.0,5.0
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",2025-11-18 17:00:00,21.613267,73.010555,6,3.0,7.0,5.0
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",2025-11-18 17:00:00,20.362421,72.918013,6,3.0,7.0,5.0
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",2025-11-18 17:00:00,22.969611,72.6435,6,22.0,29.0,25.0
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",2025-11-18 17:00:00,30.379589,76.778328,4,83.0,407.0,162.0
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",2025-11-18 17:00:00,28.360699,76.93609,0,28.0,96.0,39.0
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",2025-11-18 17:00:00,28.1485564,77.3320667,4,83.0,146.0,116.0
India,Haryana,Yamuna Nagar,"Gobind Pura, Yamuna Nagar - HSPCB",2025-11-18 17:00:00,30.1480566,77.2893471,0,36.0,101.0,63.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2025-11-18 17:00:00,30.943887,76.801991,2,13.0,121.0,45.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2025-11-18 17:00:00,30.943887,76.801991,0,43.0,101.0,59.0
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",2025-11-18 17:00:00,30.943887,76.801991,3,23.0,159.0,114.0
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",2025-11-18 17:00:00,34.066206,74.81982,6,3.0,4.0,3.0
